min,mV,mA
138,12591,706
138,12595,707
139,12589,706
139,12593,707
140,12588,706
140,12589,707
141,12588,706
142,12588,706
142,12591,707
143,12588,707
143,12588,706
144,12584,706
144,12586,707
145,12584,708
145,12584,708
146,12588,709
146,12582,708
147,12584,708
148,12582,707
148,12582,707
149,12584,707
149,12579,707
150,12580,707
150,12580,707
151,12582,706
151,12582,707
152,12580,706
153,12577,706
153,12579,706
154,12575,706
154,12573,706
155,12577,707
155,12579,707
156,12577,706
156,12572,706
157,12575,706
158,12573,707
158,12572,706
159,12573,706
159,12575,707
160,12572,707
160,12575,708
161,12572,707
161,12570,707
162,12566,706
162,12570,707
163,12566,706
164,12566,706
164,12566,706
165,12566,706
165,12566,706
166,12566,707
166,12565,706
167,12565,706
167,12565,707
168,12563,706
169,12565,707
169,12561,706
170,12565,706
170,12563,706
171,12561,706
171,12565,708
172,12559,706
172,12559,706
173,12561,707
173,12556,706
174,12558,706
175,12558,706
175,12556,706
176,12556,706
176,12558,706
177,12554,706
177,12556,707
178,12552,706
178,12556,707
179,12554,707
180,12554,708
180,12554,706
181,12549,706
181,12554,707
182,12554,707
182,12551,706
183,12551,707
183,12549,706
184,12547,706
185,12547,706
185,12547,706
186,12549,707
186,12551,707
187,12551,707
187,12545,706
188,12545,706
188,12544,706
189,12544,706
189,12545,706
190,12536,706
191,12538,706
191,12542,706
192,12545,707
192,12540,707
193,12538,706
193,12540,706
194,12538,706
194,12538,706
195,12542,707
196,12535,706
196,12536,706
197,12536,706
197,12535,706
198,12535,706
198,12535,706
199,12536,706
199,12533,706
200,12533,706
201,12533,706
201,12533,706
202,12533,706
202,12529,706
203,12529,706
203,12529,706
204,12528,706
204,12529,706
205,12528,706
205,12526,706
206,12528,706
207,12522,706
207,12524,706
208,12526,706
208,12522,706
209,12524,706
209,12524,706
210,12524,706
210,12522,706
211,12521,706
212,12522,706
212,12521,706
213,12519,706
213,12519,706
214,12519,706
214,12521,707
215,12521,706
215,12519,706
216,12519,706
217,12519,706
217,12517,706
218,12517,706
218,12515,706
219,12514,706
219,12514,706
220,12515,707
220,12514,706
221,12514,706
221,12510,705
222,12510,706
223,12510,706
223,12508,706
224,12512,706
224,12510,706
225,12508,706
225,12507,706
226,12508,706
226,12507,706
227,12507,706
228,12503,706
228,12505,706
229,12503,706
229,12501,706
242,12492,708
243,12496,708
244,12487,709
245,12489,709
246,12487,707
248,12485,707
249,12489,708
250,12485,706
251,12482,706
252,12484,709
253,12480,708
254,12482,708
255,12480,707
256,12480,707
257,12477,706
259,12475,706
260,12475,706
261,12471,706
262,12475,706
263,12473,706
264,12473,706
265,12473,706
266,12468,706
267,12468,706
268,12470,706
270,12466,706
271,12464,706
272,12466,706
273,12464,706
274,12464,706
275,12463,706
276,12463,706
277,12459,706
278,12459,706
280,12459,706
281,12459,706
282,12455,706
283,12452,705
284,12452,705
285,12454,706

